StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
2025-02-13 07:55:16,2025-02-13 08:00:43,IP Address,100,326,True,2025-02-13 08:00:44,R_7KJDPQnEmvjK1Ke,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,6 – 10 hours,4 – 6 hours,16 – 20 hours,6 – 10 hours,Good,Yes,Yes,No,No,Yes,Yes,Often,Sometimes,Often,Sometimes
2025-02-13 10:34:01,2025-02-13 10:35:43,IP Address,100,102,True,2025-02-13 10:35:44,R_7BkC0uAm8NqnFDj,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Okay,Yes,Yes,Yes,No,Yes,Yes,Very Often,Very Often,Very Often,very Often
2025-02-13 11:04:42,2025-02-13 11:08:55,IP Address,100,253,True,2025-02-13 11:08:56,R_6KHj58Kg0Hhs88K,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,11 – 15 hours,1 – 3 hours,6 – 10 hours,1 – 5 hours,Excellent (5),No,No,No,No,No,No,Rarely,Never,,Rarely
2025-02-13 11:40:19,2025-02-13 11:42:52,IP Address,100,152,True,2025-02-13 11:42:53,R_3zvhQPmrf8JL61o,email,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,16 – 20 hours,4 – 6 hours,6 – 10 hours,11 – 15 hours,Okay,Yes,Yes,Yes,No,Yes,No,Often,Sometimes,Often,Rarely
2025-02-13 13:07:11,2025-02-13 13:07:24,IP Address,100,13,True,2025-02-13 13:07:25,R_5lLa7drXwCIue8R,email,EN,I don't consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-02-13 17:24:20,2025-02-13 17:26:16,IP Address,100,116,True,2025-02-13 17:26:17,R_7I9DHbGt9HRZoGZ,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,Don’t know,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,4 – 6 hours,More than 20 hours,0 hours (don’t engage in extracurricular activities),Okay,Yes,Yes,No,No,Yes,No,Very Often,Often,Very Often,Sometimes
2025-02-17 12:23:23,2025-02-17 12:27:31,IP Address,100,247,True,2025-02-17 12:27:31,R_5DnzwInGexpzV8N,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Fair,Yes,Yes,Yes,No,No,No,Sometimes,Sometimes,Rarely,Never
2025-02-13 09:10:52,2025-02-17 12:41:38,IP Address,100,358246,True,2025-02-17 12:41:38,R_7QxLxJt4t1vlilH,email,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,7 – 9 hours,More than 20 hours,1 – 5 hours,Good,Yes,Yes,No,No,No,No,Sometimes,Rarely,Sometimes,Rarely
2025-02-17 12:45:44,2025-02-17 12:47:44,IP Address,100,120,True,2025-02-17 12:47:44,R_6Lv9LDM9lFA8vYM,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,Yes,No,No,No,No,Often,Sometimes,Sometimes,Sometimes
2025-02-17 16:21:48,2025-02-17 16:28:24,IP Address,100,396,True,2025-02-17 16:28:25,R_64gOHjilQAZe0G5,email,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Wealthy Class,More than 20 hours,7 – 9 hours,6 – 10 hours,1 – 5 hours,Good,Yes,Yes,No,No,Yes,No,Never,Rarely,Never,Never
2025-02-17 19:28:27,2025-02-17 19:31:28,IP Address,100,180,True,2025-02-17 19:31:28,R_1Hu33Ja7Qe9B8dz,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,6 – 10 hours,1 – 5 hours,Excellent (5),Yes,No,No,No,No,No,Sometimes,Sometimes,Sometimes,Rarely
2025-02-11 07:41:40,2025-02-11 07:46:09,IP Address,96,268,False,2025-02-18 07:46:10,R_6k2lSjiJrcBv3nX,email,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,16 – 20 hours,4 – 6 hours,11 – 15 hours,11 – 15 hours,Excellent (5),Yes,Yes,No,No,No,No,Never,Never,Never,
2025-02-11 09:28:43,2025-02-11 09:32:52,IP Address,96,249,False,2025-02-18 09:32:58,R_1eXbbA0Rl7XRbWA,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Sophomore,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,6 – 10 hours,4 – 6 hours,6 – 10 hours,6 – 10 hours,Good,Yes,No,No,No,,No,Often,Sometimes,Rarely,
2025-02-11 09:55:47,2025-02-11 09:58:19,IP Address,83,152,False,2025-02-18 09:58:23,R_54CVCpZp1wzVPsJ,email,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,11 – 15 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Good,Yes,Yes,No,No,Yes,No,Rarely,,,
2025-02-21 14:53:52,2025-02-21 14:56:03,IP Address,100,131,True,2025-02-21 14:56:03,R_5EpdJ0PCGlKp1HA,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,6 – 10 hours,4 – 6 hours,6 – 10 hours,1 – 5 hours,Okay,Yes,No,No,No,Yes,No,Very Often,Very Often,Very Often,very Often
2025-02-21 15:02:19,2025-02-21 15:09:26,IP Address,100,426,True,2025-02-21 15:09:26,R_140ZoQFKPA8Rb38,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,11 – 15 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,Yes,Yes,No,No,No,Often,Sometimes,Very Often,Rarely
2025-02-21 16:10:03,2025-02-21 16:18:17,IP Address,100,493,True,2025-02-21 16:18:18,R_5USgYKEcR3hiunD,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,6 – 10 hours,4 – 6 hours,16 – 20 hours,1 – 5 hours,Good,Yes,Yes,No,No,Yes,Yes,Often,Often,Very Often,Often
2025-02-22 16:33:32,2025-02-22 16:35:48,IP Address,100,136,True,2025-02-22 16:35:49,R_141vAqJuShDaGC5,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,7 – 9 hours,More than 20 hours,11 – 15 hours,Okay,Yes,No,No,No,No,No,Never,Never,Never,Never
2025-02-22 23:59:03,2025-02-23 00:02:24,IP Address,100,201,True,2025-02-23 00:02:25,R_5kc7LMxIibndy0c,email,EN,I voluntarily consent to participate in this study,Male,a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,6 – 10 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Okay,No,No,Yes,No,Yes,Yes,Sometimes,Sometimes,Never,Rarely
2025-02-23 16:36:59,2025-02-23 16:39:19,IP Address,100,140,True,2025-02-23 16:39:20,R_1MWz3L71hB1tDWm,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Good,Yes,Yes,Yes,No,No,No,Sometimes,Often,Often,Often
2025-02-24 11:17:48,2025-02-24 11:21:33,IP Address,100,225,True,2025-02-24 11:21:33,R_69vW5GtLj9jZcoF,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,6 – 10 hours,4 – 6 hours,6 – 10 hours,1 – 5 hours,Okay,No,Yes,Yes,No,Yes,No,Often,Sometimes,Sometimes,Rarely
2025-02-17 12:25:52,2025-02-17 12:29:34,IP Address,96,221,False,2025-02-24 12:29:35,R_7PI9BTH1s4dET79,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,16 – 20 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Excellent (5),Yes,Yes,,No,No,No,Very Often,Very Often,Very Often,
2025-02-25 10:50:38,2025-02-25 10:52:42,IP Address,100,123,True,2025-02-25 10:52:42,R_5PNW1PhYUjyy3y6,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Good,Yes,No,Yes,No,No,No,Often,Very Often,Often,very Often
2025-02-25 12:08:50,2025-02-25 12:12:16,IP Address,100,205,True,2025-02-25 12:12:17,R_6dNqYElHGANLAIx,email,EN,I voluntarily consent to participate in this study,Prefer not to say,a first-generation college student,Prefer not to say,Freshman,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Okay,Yes,Yes,No,No,No,No,Rarely,Never,Never,Never
2025-02-26 11:42:24,2025-02-26 11:54:40,IP Address,100,736,True,2025-02-26 11:54:41,R_21aOKtuDW3Z6aIf,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,2.00 – 2.99,Sophomore,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Lower Middle Class,11 – 15 hours,4 – 6 hours,More than 20 hours,1 – 5 hours,Fair,No,Yes,Yes,No,No,Yes,Rarely,Rarely,Never,Rarely
2025-02-23 12:37:30,2025-02-23 12:38:56,IP Address,65,85,False,2025-03-02 12:38:59,R_6onYm5owlGHcbgR,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,1 – 5 hours,6 – 10 hours,Okay,Yes,Yes,Yes,,,,,,,
2025-02-23 13:05:41,2025-02-23 13:09:44,IP Address,65,243,False,2025-03-02 13:09:46,R_5rdObwulhcR1ffH,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,Prefer not to say,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,More than 20 hours,7 – 9 hours,More than 20 hours,0 hours (don’t engage in extracurricular activities),Good,No,No,,,,,,,,
2025-03-03 12:37:17,2025-03-03 12:41:35,IP Address,100,258,True,2025-03-03 12:41:36,R_3o0c6biYnVVBMLu,email,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,2.00 – 2.99,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,1 – 5 hours,4 – 6 hours,11 – 15 hours,1 – 5 hours,Good,Yes,Yes,Yes,No,Yes,No,Sometimes,Rarely,Sometimes,Never
2025-02-26 13:35:35,2025-02-26 13:36:01,IP Address,9,26,False,2025-03-05 13:36:06,R_5rc5c3O8Gokk3tD,email,EN,I voluntarily consent to participate in this study,,,,,,,,,,,,,,,,,,,,,
2025-03-12 09:07:07,2025-03-12 09:09:43,IP Address,100,156,True,2025-03-12 09:09:44,R_2lKKQgqbaBXBABz,anonymous,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,11 – 15 hours,7 – 9 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Okay,Yes,Yes,Yes,No,Yes,Yes,Very Often,Often,Sometimes,very Often
2025-03-12 11:31:56,2025-03-12 11:34:17,IP Address,100,141,True,2025-03-12 11:34:17,R_3QCAtDXNAhjajVT,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,11 – 15 hours,4 – 6 hours,0 hours (don’t work),11 – 15 hours,Okay,Yes,Yes,Yes,No,Yes,Yes,Very Often,Very Often,Very Often,Often
2025-03-12 11:49:18,2025-03-12 11:52:01,IP Address,100,163,True,2025-03-12 11:52:02,R_6d4Z03thLUiDc53,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,More than 20 hours,4 – 6 hours,6 – 10 hours,11 – 15 hours,Excellent (5),Yes,Yes,Yes,No,No,No,Very Often,Sometimes,Never,Never
2025-03-12 12:57:02,2025-03-12 13:01:21,IP Address,100,259,True,2025-03-12 13:01:22,R_1XapyvAjS9gF6iY,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,More than 20 hours,4 – 6 hours,16 – 20 hours,11 – 15 hours,Excellent (5),Yes,No,Yes,No,Yes,No,Sometimes,Sometimes,Sometimes,Rarely
2025-03-12 21:20:46,2025-03-12 21:23:06,IP Address,100,139,True,2025-03-12 21:23:06,R_3P7AjYbq4v5fr0J,anonymous,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Okay,Yes,Yes,No,No,No,No,Rarely,Never,Never,Rarely
2025-03-13 13:06:12,2025-03-13 13:08:12,IP Address,100,119,True,2025-03-13 13:08:13,R_7vZbXThfKS3F9Fm,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,6 – 10 hours,11 – 15 hours,Poor (1),Yes,No,No,No,Yes,No,Often,Often,Sometimes,Sometimes
2025-03-13 13:08:37,2025-03-13 13:11:57,IP Address,100,199,True,2025-03-13 13:11:57,R_3OZcLA4t9jHpS1P,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,6 – 10 hours,0 hours (don’t engage in extracurricular activities),Poor (1),Yes,No,No,No,Yes,Yes,Very Often,Very Often,Very Often,very Often
2025-03-13 13:15:43,2025-03-13 13:18:48,IP Address,100,185,True,2025-03-13 13:18:49,R_1FequJBsEHFGcku,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Sophomore,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,4 – 6 hours,6 – 10 hours,6 – 10 hours,Fair,Yes,Yes,Yes,Yes,Yes,Yes,Often,Sometimes,Often,Often
2025-03-13 13:24:49,2025-03-13 13:27:01,IP Address,100,131,True,2025-03-13 13:27:01,R_6n2Wip5Ry6LA08m,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,16 – 20 hours,7 – 9 hours,1 – 5 hours,1 – 5 hours,Okay,Yes,Yes,Yes,No,Yes,Yes,Often,Often,Often,Often
2025-03-13 13:24:03,2025-03-13 13:27:37,IP Address,100,213,True,2025-03-13 13:27:38,R_1XaK7EDdV6sDzMF,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,3.00 – 4.00,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,7 – 9 hours,0 hours (don’t work),1 – 5 hours,Okay,No,Yes,Yes,No,No,Yes,Often,Sometimes,Sometimes,Often
2025-03-13 13:26:56,2025-03-13 13:29:06,IP Address,100,130,True,2025-03-13 13:29:07,R_6qTjKn645z5LaQp,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Sophomore,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Upper Middle Class,1 – 5 hours,4 – 6 hours,More than 20 hours,6 – 10 hours,Good,Yes,Yes,Yes,No,No,Yes,Very Often,Sometimes,Sometimes,Sometimes
2025-03-13 13:28:49,2025-03-13 13:30:35,IP Address,100,105,True,2025-03-13 13:30:35,R_3jU6UE0F5iPNjid,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Senior,"NOT a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,7 – 9 hours,16 – 20 hours,6 – 10 hours,Good,Yes,No,No,No,No,No,Often,Often,Very Often,Often
2025-03-13 13:31:19,2025-03-13 13:38:46,IP Address,100,446,True,2025-03-13 13:38:46,R_5IQ5IuCZQLgl28m,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,7 – 9 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Fair,Yes,Yes,No,No,Yes,Yes,Rarely,Very Often,Often,Often
2025-03-13 13:36:14,2025-03-13 13:40:43,IP Address,100,268,True,2025-03-13 13:40:43,R_14q5aFiQF0ZXPPP,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,7 – 9 hours,0 hours (don’t work),6 – 10 hours,Good,Yes,Yes,Yes,No,No,No,Often,Never,Never,Rarely
2025-03-13 14:23:46,2025-03-13 14:25:53,IP Address,100,127,True,2025-03-13 14:25:53,R_7FmhVOxMrWLROi9,qr,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,2.00 – 2.99,Junior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,1 – 5 hours,7 – 9 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Poor (1),Yes,No,No,No,No,No,Never,Often,Often,Often
2025-03-06 14:37:52,2025-03-06 14:38:25,IP Address,17,32,False,2025-03-13 15:38:29,R_7vRNSD7ZQXpBbR7,email,EN,I voluntarily consent to participate in this study,Female,NOT a first-generation college student,,,,,,,,,,,,,,,,,,,
2025-03-14 15:20:33,2025-03-14 15:22:24,IP Address,100,111,True,2025-03-14 15:22:25,R_1V8hSWM95BHXFPg,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,16 – 20 hours,4 – 6 hours,0 hours (don’t work),1 – 5 hours,Fair,Yes,Yes,Yes,No,No,No,Very Often,Often,Often,Often
2025-03-14 15:21:24,2025-03-14 15:24:17,IP Address,100,173,True,2025-03-14 15:24:18,R_2BMuvkNOeWzsOC5,qr,EN,I voluntarily consent to participate in this study,Female,a first-generation college student,3.00 – 4.00,Freshman,"a Science, Technology, Engineering, or Mathematics (STEM) major",Working Class,More than 20 hours,4 – 6 hours,0 hours (don’t work),0 hours (don’t engage in extracurricular activities),Poor (1),No,No,No,No,No,No,Often,Rarely,Often,Sometimes
2025-03-14 15:24:52,2025-03-14 15:29:41,IP Address,100,288,True,2025-03-14 15:29:41,R_3LMedw0Cfi2Rx0m,qr,EN,I voluntarily consent to participate in this study,Male,NOT a first-generation college student,2.00 – 2.99,Senior,"a Science, Technology, Engineering, or Mathematics (STEM) major",Middle Class,6 – 10 hours,4 – 6 hours,More than 20 hours,16 – 20 hours,Fair,Yes,Yes,Yes,No,No,Yes,Often,Sometimes,Sometimes,Often
